KYTREASNOX,MCALDT,TMBIDYTM,TMASKYTM,TMYTM
2000002,2018-03-29,1.7069603499068E+00,1.6967783501477E+00,1.7018693177181E+00
2000002,2018-04-30,1.8242088856904E+00,1.8140223862343E+00,1.8191156025585E+00
2000002,2018-05-31,1.9004674713598E+00,1.8902805582492E+00,1.8953739824642E+00
2000002,2018-06-29,1.9156979725454E+00,1.9055112058525E+00,1.9106045572150E+00
2000002,2018-07-31,2.0279385778574E+00,2.0177472972931E+00,2.0228429044959E+00
2000002,2018-08-31,2.0991035406482E+00,2.0889121661804E+00,2.0940078214014E+00
2000002,2018-09-28,2.2010313734870E+00,2.1908374373423E+00,2.1959343733857E+00
2000002,2018-10-31,2.3235267857671E+00,2.3184275974740E+00,2.3209771834283E+00
2000002,2018-11-30,2.3539711714915E+00,2.3437733904164E+00,2.3488722489008E+00
2000002,2018-12-31,2.3588410364355E+00,2.3486451055612E+00,2.3537430400248E+00
2000002,2019-01-31,2.3897438080794E+00,2.3744448849330E+00,2.3820942735638E+00
2000002,2019-02-28,2.4305437895589E+00,2.4254435649044E+00,2.4279936691251E+00
2000002,2019-03-29,2.3845660533595E+00,2.3743675029501E+00,2.3794667460969E+00
2000002,2019-04-30,2.4205042375236E+00,2.4103027583086E+00,2.4154034647704E+00
2000002,2019-05-31,2.3437733904164E+00,2.3335758657602E+00,2.3386745960367E+00
2000002,2019-06-28,2.0889121661804E+00,2.0736255846561E+00,2.0812688033937E+00
2000002,2019-07-31,2.0533600777961E+00,1.9922157916785E+00,2.0227867568148E+00
2000002,2019-08-30,1.9819720915844E+00,1.9615943837874E+00,1.9717831082756E+00
2000002,2019-09-30,1.8137064233118E+00,1.8035237318781E+00,1.8086150467018E+00
2000002,2019-10-31,1.5440793623501E+00,1.5339014964752E+00,1.5389903971298E+00
2000002,2019-11-29,1.5745805016023E+00,1.5694913685744E+00,1.5720359271057E+00
2000002,2019-12-31,1.5441447699748E+00,1.5390553740379E+00,1.5416000637567E+00
